DictName,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
eval_results_caa,0.9644808743169399,0.5882352941176471,0.625,0.6060606060606061,32.0,0.9828080229226361,0.98,0.9814020028612304,700.0,0.7855216585201417,0.8025,0.7937313044609182,732.0,0.965558941881981,0.9644808743169399,0.964993635787979,732.0
caa_ecco_eval_results,0.7667386609071274,0.47619047619047616,0.18867924528301888,0.2702702702702703,106.0,0.7957244655581948,0.938375350140056,0.8611825192802056,357.0,0.6359574708743354,0.5635272977115374,0.565726394775238,463.0,0.7225698157245487,0.7667386609071274,0.7258980735025531,463.0
caa_combined_eval_results,0.8920502092050209,0.691358024691358,0.35,0.46473029045643155,160.0,0.9066427289048474,0.9758454106280193,0.9399720800372267,1035.0,0.7990003767981027,0.6629227053140097,0.7023511852468292,1195.0,0.8778179986335852,0.8920502092050209,0.8763413801770366,1195.0
caa_caa_balanced_eval_results,0.85,0.9,0.6428571428571429,0.75,14.0,0.8333333333333334,0.9615384615384616,0.8928571428571429,26.0,0.8666666666666667,0.8021978021978022,0.8214285714285714,40.0,0.8566666666666667,0.85,0.8428571428571429,40.0
ecco_eval_results,0.9287257019438445,0.8842105263157894,0.7924528301886793,0.835820895522388,106.0,0.9402173913043478,0.969187675070028,0.9544827586206897,357.0,0.9122139588100686,0.8808202526293536,0.8951518270715388,463.0,0.9273950852810494,0.9287257019438445,0.92731611177745,463.0
ecco_caa_eval_results,0.7486338797814208,0.10416666666666667,0.625,0.17857142857142858,32.0,0.9777777777777777,0.7542857142857143,0.8516129032258064,700.0,0.5409722222222222,0.6896428571428572,0.5150921658986175,732.0,0.9395871281117183,0.7486338797814208,0.822190325098839,732.0
ecco_combined_eval_results,0.8234309623430962,0.4174757281553398,0.80625,0.5501066098081023,160.0,0.9650112866817155,0.8260869565217391,0.8901613742842269,1035.0,0.6912435074185277,0.8161684782608696,0.7201339920461647,1195.0,0.8917010863769289,0.8234309623430962,0.8446310292497667,1195.0
ecco_caa_balanced_eval_results,0.55,0.375,0.42857142857142855,0.4,14.0,0.6666666666666666,0.6153846153846154,0.64,26.0,0.5208333333333333,0.521978021978022,0.52,40.0,0.5645833333333333,0.55,0.556,40.0
combined_eval_results,0.9430962343096234,0.815068493150685,0.74375,0.7777777777777778,160.0,0.9609151572926596,0.9739130434782609,0.9673704414587332,1035.0,0.8879918252216723,0.8588315217391305,0.8725741096182555,1195.0,0.941387570461935,0.9430962343096234,0.9419856496688144,1195.0
combined_caa_eval_results,0.9836065573770492,0.8333333333333334,0.78125,0.8064516129032258,32.0,0.99002849002849,0.9928571428571429,0.9914407988587732,700.0,0.9116809116809117,0.8870535714285714,0.8989462058809995,732.0,0.9831784285336198,0.9836065573770492,0.9833538399098967,732.0
combined_ecco_eval_results,0.9611231101511879,0.9313725490196079,0.8962264150943396,0.9134615384615384,106.0,0.9695290858725761,0.9803921568627451,0.9749303621169917,357.0,0.950450817446092,0.9383092859785424,0.9441959502892651,463.0,0.9607934640444669,0.9611231101511879,0.9608575860749224,463.0
combined_caa_balanced_eval_results,0.925,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0,0.96,0.9230769230769231,0.9411764705882353,26.0,0.9133333333333333,0.9258241758241759,0.9188640973630832,40.0,0.9273333333333333,0.925,0.9255578093306287,40.0
caa_balanced_eval_results,0.75,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0,0.7252747252747254,0.7252747252747254,0.7252747252747254,40.0,0.75,0.75,0.75,40.0
balanced_caa_caa_eval_results,0.5314207650273224,0.07629427792915532,0.875,0.14035087719298245,32.0,0.989041095890411,0.5157142857142857,0.6779342723004694,700.0,0.5326676869097832,0.6953571428571428,0.40914257474672594,732.0,0.9491395956516675,0.5314207650273224,0.6544333588531476,732.0
balanced_caa_ecco_eval_results,0.6241900647948164,0.2926829268292683,0.4528301886792453,0.35555555555555557,106.0,0.8060200668896321,0.6750700280112045,0.7347560975609756,357.0,0.5493514968594502,0.563950108345225,0.5451558265582656,463.0,0.6884957972429828,0.6241900647948164,0.6479412866482877,463.0
balanced_caa_combined_eval_results,0.5807531380753138,0.1702127659574468,0.55,0.25997045790251105,160.0,0.8938053097345132,0.5855072463768116,0.7075306479859895,1035.0,0.53200903784598,0.5677536231884058,0.4837505529442503,1195.0,0.7969226260488809,0.5807531380753138,0.6476062710710468,1195.0
combined_balanced_eval_results,0.6153846153846154,0.6341463414634146,0.6341463414634146,0.6341463414634146,41.0,0.5945945945945946,0.5945945945945946,0.5945945945945946,37.0,0.6143704680290046,0.6143704680290046,0.6143704680290046,78.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,78.0
combined_balanced_caa_eval_results,0.5341530054644809,0.07202216066481995,0.8125,0.13231552162849872,32.0,0.9838274932614556,0.5214285714285715,0.6816059757236228,700.0,0.5279248269631378,0.6669642857142857,0.40696074867606075,732.0,0.9439671508528594,0.5341530054644809,0.6575932782768414,732.0
combined_balanced_ecco_eval_results,0.6436285097192225,0.3775933609958506,0.8584905660377359,0.5244956772334294,106.0,0.9324324324324325,0.5798319327731093,0.7150259067357513,357.0,0.6550128967141415,0.7191612494054226,0.6197607919845903,463.0,0.8054066406996514,0.6436285097192225,0.6714055950138373,463.0
