DictName,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
eval_results_caa,0.9755043227665706,0.9879154078549849,0.9864253393665159,0.9871698113207548,663.0,0.71875,0.7419354838709677,0.7301587301587301,31.0,0.8533327039274925,0.8641804116187418,0.8586642707397425,694.0,0.9758921691755835,0.9755043227665706,0.9756894892515577,694.0
caa_ecco_eval_results,0.7450424929178471,0.5913461538461539,0.9609375,0.7321428571428571,128.0,0.9655172413793104,0.6222222222222222,0.7567567567567568,225.0,0.7784316976127321,0.7915798611111111,0.7444498069498069,353.0,0.8298404730953328,0.7450424929178471,0.7478316033556827,353.0
caa_combined_eval_results,0.8653846153846154,0.8288372093023256,0.9944196428571429,0.9041095890410958,896.0,0.9848024316109423,0.6377952755905512,0.7741935483870968,508.0,0.906819820456634,0.8161074592238471,0.8391515687140962,1404.0,0.8852690703655572,0.8653846153846154,0.8571029304568853,1404.0
caa_caa_balanced_eval_results,0.9714285714285714,0.96,1.0,0.9795918367346939,72.0,1.0,0.9090909090909091,0.9523809523809523,33.0,0.98,0.9545454545454546,0.9659863945578231,105.0,0.9725714285714286,0.9714285714285714,0.9710398445092322,105.0
ecco_eval_results,0.9575070821529745,0.9747899159663865,0.90625,0.9392712550607287,128.0,0.9487179487179487,0.9866666666666667,0.9673202614379085,225.0,0.9617539323421676,0.9464583333333334,0.9532957582493187,353.0,0.9581718065304135,0.9575070821529745,0.9571495169158716,353.0
ecco_caa_eval_results,0.6556195965417867,0.9907407407407407,0.6455505279034691,0.7817351598173516,663.0,0.10305343511450382,0.8709677419354839,0.18430034129692832,31.0,0.5468970879276223,0.7582591349194765,0.48301775055713997,694.0,0.9510890023049866,0.6556195965417867,0.7550485901139896,694.0
ecco_combined_eval_results,0.8254985754985755,0.9909502262443439,0.7332589285714286,0.8428479794740218,896.0,0.6774628879892037,0.9881889763779528,0.8038430744595677,508.0,0.8342065571167738,0.8607239524746907,0.8233455269667947,1404.0,0.8775231836278118,0.8254985754985755,0.8287350936140911,1404.0
ecco_caa_balanced_eval_results,0.6095238095238096,0.918918918918919,0.4722222222222222,0.6238532110091743,72.0,0.4411764705882353,0.9090909090909091,0.594059405940594,33.0,0.6800476947535772,0.6906565656565656,0.6089563084748841,105.0,0.7687712923007041,0.6095238095238096,0.6144894437019063,105.0
combined_eval_results,0.9729344729344729,0.9852941176470589,0.9720982142857143,0.9786516853932584,896.0,0.9519230769230769,0.9744094488188977,0.9630350194552529,508.0,0.9686085972850679,0.973253831552306,0.9708433524242557,1404.0,0.9732196955047634,0.9729344729344729,0.9730012108230969,1404.0
combined_caa_eval_results,0.9913544668587896,0.995475113122172,0.995475113122172,0.995475113122172,663.0,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0,0.9493504597868925,0.9493504597868925,0.9493504597868925,694.0,0.9913544668587896,0.9913544668587896,0.9913544668587896,694.0
combined_ecco_eval_results,0.9915014164305949,0.9844961240310077,0.9921875,0.9883268482490273,128.0,0.9955357142857143,0.9911111111111112,0.9933184855233853,225.0,0.9900159191583611,0.9916493055555555,0.9908226668862063,353.0,0.9915326900573788,0.9915014164305949,0.9915084867383489,353.0
combined_caa_balanced_eval_results,0.9619047619047619,0.9473684210526315,1.0,0.972972972972973,72.0,1.0,0.8787878787878788,0.9354838709677419,33.0,0.9736842105263157,0.9393939393939394,0.9542284219703574,105.0,0.9639097744360902,0.9619047619047619,0.9611906837713291,105.0
caa_balanced_eval_results,0.8666666666666667,0.9393939393939394,0.8611111111111112,0.8985507246376812,72.0,0.7435897435897436,0.8787878787878788,0.8055555555555556,33.0,0.8414918414918415,0.869949494949495,0.8520531400966184,105.0,0.8778554778554778,0.8666666666666667,0.8693236714975845,105.0
balanced_caa_caa_eval_results,0.9250720461095101,0.99836867862969,0.9230769230769231,0.9592476489028213,663.0,0.37037037037037035,0.967741935483871,0.5357142857142857,31.0,0.6843695245000302,0.9454094292803971,0.7474809673085535,694.0,0.9703168809985101,0.9250720461095101,0.9403290116422383,694.0
balanced_caa_ecco_eval_results,0.8838526912181303,0.8222222222222222,0.8671875,0.844106463878327,128.0,0.9220183486238532,0.8933333333333333,0.90744920993228,225.0,0.8721202854230377,0.8802604166666667,0.8757778369053035,353.0,0.8858316512317604,0.8838526912181303,0.8844807354424613,353.0
balanced_caa_combined_eval_results,0.9131054131054132,0.9574468085106383,0.9040178571428571,0.9299655568312285,896.0,0.8458781362007168,0.9291338582677166,0.8855534709193246,508.0,0.9016624723556776,0.9165758577052868,0.9077595138752765,1404.0,0.9170786564212935,0.9131054131054132,0.9138962266009956,1404.0
combined_balanced_eval_results,0.8333333333333334,0.9166666666666666,0.873015873015873,0.8943089430894309,63.0,0.5555555555555556,0.6666666666666666,0.6060606060606061,15.0,0.7361111111111112,0.7698412698412698,0.7501847745750185,78.0,0.8472222222222222,0.8333333333333334,0.8388765705838878,78.0
combined_balanced_caa_eval_results,0.9582132564841499,0.9703264094955489,0.9864253393665159,0.9783096484667165,663.0,0.55,0.3548387096774194,0.43137254901960786,31.0,0.7601632047477744,0.6706320245219677,0.7048410987431621,694.0,0.9515510223278804,0.9582132564841499,0.9538787405663413,694.0
